match_id,match_type,teams,date,city,venue,has_innings_data,innings_count,total_deliveries
1399150,T20,Bermuda|Canada,2023-09-30,Hamilton,"White Hill Field, Sandys Parish",True,2,232
1321299,T20,Luxembourg|Slovenia,2022-07-30,Vantaa,Tikkurila Cricket Ground,True,2,249
533282,T20,Ireland|West Indies,2012-09-24,Colombo,R Premadasa Stadium,True,1,117
1310892,T20,Namibia|Uganda,2022-04-23,Windhoek,"Centre for Cricket Development Ground, Windhoek",True,2,177
1320193,T20,Bahrain|Kuwait,2022-06-17,Kuala Lumpur,"Kinrara Academy Oval, Kuala Lumpur",True,1,49
1462877,T20,Panama|Suriname,2024-12-06,Buenos Aires,"St Albans Club, Buenos Aires",True,2,191
1370906,T20,United Arab Emirates|Namibia,2023-04-27,Windhoek,"United Cricket Club Ground, Windhoek",True,2,234
640947,T20,Ireland|Pakistan,2013-07-29,Dublin,YMCA Cricket Club,True,2,208
1334415,T20,West Indies|New Zealand,2022-09-28,North Sound,"Sir Vivian Richards Stadium, North Sound, Antigua",True,2,245
1415742,T20,West Indies|England,2024-06-19,Gros Islet,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",True,2,241
1198217,T20,Singapore|Malaysia,2019-08-28,Singapore,Indian Association Ground,True,2,266
1432428,T20,Pakistan|India,2024-10-06,Dubai,Dubai International Cricket Stadium,True,2,240
1367729,T20,Portugal|Malta,2023-05-05,Gibraltar,Europa Sports Complex,True,2,257
1184902,T20,Uganda|Kenya,2019-05-22,Kampala,Lugogo Cricket Oval,True,2,251
1278673,T20,India|New Zealand,2021-11-21,Kolkata,"Eden Gardens, Kolkata",True,2,231
1425128,T20,Bangladesh|Zimbabwe,2024-05-07,Chattogram,"Zahur Ahmed Chowdhury Stadium, Chattogram",True,2,254
1415721,T20,South Africa|Bangladesh,2024-06-10,New York,"Nassau County International Cricket Stadium, New York",True,2,249
1459892,T20,India|West Indies,2024-12-17,Navi Mumbai,"Dr DY Patil Sports Academy, Navi Mumbai",True,2,223
1481306,T20,Bermuda|Cayman Islands,2025-04-20,George Town,"Jimmy Powell Oval, Cayman Islands",True,2,245
1349379,T20,Singapore|Qatar,2022-12-15,Bangi,"UKM-YSD Cricket Oval, Bangi",True,2,214
635660,T20,Sri Lanka|South Africa,2013-08-06,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",True,2,237
1394807,T20,Fiji|Papua New Guinea,2023-09-07,Port Vila,Vanuatu Cricket Ground (Oval 2),True,2,148
875471,T20,Scotland|Netherlands,2015-07-11,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",True,2,247
1289267,T20,Australia|Pakistan,2022-08-03,Birmingham,"Edgbaston, Birmingham",True,2,253
1462913,T20,Nigeria|Rwanda,2024-12-13,Kigali City,"Gahanga International Cricket Stadium, Rwanda",True,2,247
1426452,T20,Namibia|Oman,2024-04-04,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,192
1187677,T20,New Zealand|India,2020-01-24,Auckland,Eden Park,True,2,249
603246,T20,Sri Lanka|West Indies,2013-03-08,Colombo,R Premadasa Stadium,True,2,250
1183524,T20,Australia|Sri Lanka,2019-10-27,Adelaide,Adelaide Oval,True,2,247
1393591,T20,Hong Kong|Nepal,2023-08-22,Kuala Lumpur,"Bayuemas Oval, Kuala Lumpur",True,2,221
914219,T20,New Zealand|Sri Lanka,2016-01-10,Auckland,Eden Park,True,2,185
1142506,T20,Scotland|Netherlands,2018-06-20,Amstelveen,VRA Ground,True,2,215
1424763,T20,Tanzania|Namibia,2024-03-20,Accra,"Achimota Senior Secondary School B Field, Accra",True,2,204
1335785,T20,Thailand|Bangladesh,2022-10-01,Sylhet,"Sylhet International Cricket Stadium, Academy Ground",True,2,192
1444952,T20,Vanuatu|Cook Islands,2024-08-17,Apia,"Faleata Oval No 2, Apia",True,2,239
1279385,T20,Cyprus|Estonia,2021-10-08,Episkopi,Happy Valley Ground,True,2,251
1453913,T20,Maldives|Bhutan,2024-10-20,Gelephu,Gelephu International Cricket Ground,True,2,237
1443576,T20,Australia|New Zealand,2025-03-26,Wellington,"Sky Stadium, Wellington",True,2,245
1394766,T20,United Arab Emirates|Bahrain,2023-09-04,Kuala Lumpur,"Bayuemas Oval, Kuala Lumpur",True,2,234
1415711,T20,Pakistan|United States of America,2024-06-06,Dallas,"Grand Prairie Stadium, Dallas",True,4,270
1251577,T20,South Africa|Pakistan,2021-04-14,Centurion,"SuperSport Park, Centurion",True,2,230
1299570,T20,Canada|Oman,2022-02-19,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,231
1343742,T20,Kenya|St Helena,2022-11-17,Kigali City,Gahanga International Cricket Stadium. Rwanda,True,1,25
743953,T20,England|New Zealand,2015-06-23,Manchester,Old Trafford,True,2,222
1429631,T20,Botswana|Lesotho,2024-04-25,Gaborone,"Botswana Cricket Association Oval 2, Gaborone",True,2,277
1462850,T20,Namibia|Thailand,2024-12-04,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong",True,2,242
1454819,T20,Netherlands|Oman,2024-11-13,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,241
1423474,T20,Zimbabwe|South Africa,2024-03-13,Accra,"Achimota Senior Secondary School A Field, Accra",True,4,255
1343758,T20,Seychelles|Malawi,2022-11-22,Kigali City,Gahanga International Cricket Stadium. Rwanda,True,1,33
1407106,T20,Uganda|Kenya,2023-11-29,Windhoek,"Wanderers Cricket Ground, Windhoek",True,2,247
1085495,T20,West Indies|Pakistan,2017-04-01,Trinidad,"Queen's Park Oval, Port of Spain",True,2,215
1176795,T20,Papua New Guinea|Philippines,2019-03-23,Port Moresby,Amini Park,True,2,139
1190606,T20,Germany|Netherlands,2019-06-27,Murcia,La Manga Club Top Ground,True,2,267
1450821,T20,United Arab Emirates|United States of America,2024-10-04,Windhoek,"Wanderers Cricket Ground, Windhoek",True,2,245
1283034,T20,Swaziland|Ghana,2021-10-20,Kigali City,Integrated Polytechnic Regional Centre,True,2,197
1273740,T20,England|Sri Lanka,2021-11-01,Sharjah,Sharjah Cricket Stadium,True,2,240
